,0
0,"Para o número de voltas 2 no turno 1, existe um carro cujo tempo total (8.40887429304475) é superior ao tempo de abertura (6.75)."
1,"Para o número de voltas 4 no turno 0, existe um carro cujo tempo total (7.310855809628311) é superior ao tempo de abertura (6.75)."
2,"Para o número de voltas 4 no turno 0, existe um carro cujo tempo total (7.351087452817351) é superior ao tempo de abertura (6.75)."
3,"Para o número de voltas 4 no turno 1, existe um carro cujo tempo total (7.333184795460275) é superior ao tempo de abertura (6.75)."
4,"Para o número de voltas 4 no turno 1, existe um carro cujo tempo total (7.339814671400913) é superior ao tempo de abertura (6.75)."
5,"Para o número de voltas 4 no turno 2, existe um carro cujo tempo total (6.933968527178539) é superior ao tempo de abertura (6.75)."
6,"Para o número de voltas 4 no turno 2, existe um carro cujo tempo total (7.1156115743406385) é superior ao tempo de abertura (6.75)."
7,"Para o número de voltas 1 no turno 0, existe um carro cujo tempo total (7.054493453299544) é superior ao tempo de abertura (6.75)."
8,"Para o número de voltas 1 no turno 1, existe um carro cujo tempo total (7.036872211020092) é superior ao tempo de abertura (6.75)."
9,"Para o número de voltas 2 no turno 1, existe um carro cujo tempo total (7.397398607449315) é superior ao tempo de abertura (6.75)."
10,"Para o número de voltas 2 no turno 2, existe um carro cujo tempo total (7.680127942415068) é superior ao tempo de abertura (6.75)."
11,"Para o número de voltas 3 no turno 2, existe um carro cujo tempo total (6.936369326265297) é superior ao tempo de abertura (6.75)."
12,"Para o número de voltas 4 no turno 0, existe um carro cujo tempo total (7.310855809628311) é superior ao tempo de abertura (6.75)."
13,"Para o número de voltas 4 no turno 1, existe um carro cujo tempo total (7.333184795460275) é superior ao tempo de abertura (6.75)."
14,"Para o número de voltas 4 no turno 2, existe um carro cujo tempo total (6.933968527178539) é superior ao tempo de abertura (6.75)."
